"Country (ISO 3166-1)",Place,Lattitude,Longitude,"Radiation January","Radiation February","Radiation March","Radiation April","Radiation May","Radiation June","Radiation July","Radiation August","Radiation September","Radiation October","Radiation November","Radiation December"
CA,"St Catharines-Niagara",43.18,-79.24,4.46,7.42,11.45,15.88,19.40,21.49,21.42,18.58,14.36,9.32,5.47,3.74
CA,"St John",45.29,-66.06,5.69,8.39,12.42,15.26,17.46,18.68,18.61,16.88,12.74,8.50,5.36,4.68
CA,"St John's",47.58,-52.69,4.25,7.16,11.63,14.69,17.17,18.14,18.25,16.13,11.92,7.52,4.46,3.28
CA,Sudbury,46.49,-81.01,5.15,8.50,12.64,16.49,18.50,20.27,19.84,16.70,12.31,8.06,5.11,4.14
CA,"Swift Current",50.30,-107.80,4.25,7.24,11.45,16.49,19.04,20.27,21.74,17.89,12.71,8.21,4.75,3.42
CA,"Thunder Bay",48.42,-89.28,4.14,7.38,12.02,16.27,19.66,20.41,20.12,17.28,12.60,8.17,4.50,3.28
CA,Toronto,43.67,-79.38,4.58,7.73,12.34,15.45,18.88,21.07,21.52,18.72,14.23,9.64,5.14,4.17
CA,Trois-Riieres,46.35,-72.57,5.26,8.50,12.24,16.31,17.96,19.55,18.97,16.92,12.28,7.74,5.22,4.39
CA,Vancouver,49.28,-123.13,3.74,6.84,10.98,1.57,18.79,19.91,20.70,17.78,13.50,7.38,4.39,3.10
CA,Victoria,48.43,-123.37,3.46,6.41,10.22,14.65,18.29,20.05,21.20,18.65,13.90,7.70,4.14,2.88
CA,"White Rock",49.03,-122.83,3.74,6.84,10.98,15.70,18.79,19.91,20.70,17.78,13.50,7.38,4.39,3.10
CA,Whitehorse,60.73,-135.05,1.04,3.35,8.42,14.90,19.87,20.81,18.76,14.98,9.65,5.00,1.69,0.61
CA,Windsor,42.30,-83.03,4.61,7.24,11.30,15.48,18.36,20.84,20.70,17.78,14.65,9.58,5.72,4.03
CA,Winnipeg,49.88,-97.17,4.00,7.24,11.48,15.70,19.33,20.63,20.77,17.21,11.88,7.67,4.57,3.10
